,[EN] The IPCC released its Sixth Assessment R,"[EN] At COP28 in Dubai, over 190 nations agre",[EN] Researchers at NASA's Goddard Institute ,[EN] A study published in Science in January ,[EN] Marine biologists at the Great Barrier R,[EN] The Dead Sea has lost approximately one-,"[EN] Flash floods in Derna, Libya in Septembe",[EN] Jordan is classified as one of the most ,"[EN] Jordan's Disi Water Conveyance Project, ",[EN] The Kingdom of Jordan inaugurated a 200-,[AR] ﺖﺑ ﺔﻴﻨﻌﻤﻟﺍ ﺔﻴﻟﻭﺪﻟﺍ ﺔﻴﻣﻮﻜﺤﻟﺍ ﺔﺌﻴﻬﻟﺍ ﺕﺭﺪﺻﺃ,[AR] ﺪﻘﻌﻨﻤﻟﺍ ﻦﻳﺮﺸﻌﻟﺍﻭ ﻦﻣﺎﺜﻟﺍ ﻑﺍﺮﻃﻷﺍ ﺮﻤﺗﺆﻣ ﻲﻓ,[AR] ﺀﺎﻀﻔﻟﺍ ﺕﺎﺳﺍﺭﺪﻟ ﺩﺭﺍﺩﻮﻏ ﺪﻬﻌﻣ ﻲﻓ ﻥﻮﺜﺣﺎﺑ ﺪﻛﺃ,[AR] ﺀﺎﻄﻐﻟﺍ ﻥﺃ ﺲﻨﻳﺎﺳ ﺔﻠﺠﻣ ﻲﻓ ﺕﺮﺸﻧ ﺔﺳﺍﺭﺩ ﺖﻔﺸﻛ,[AR] ﺮﻣ ﺽﺎﻀﻴﺑﺍ ﺙﺪﺣ ﺔﻳﺮﺤﺒﻟﺍ ﺀﺎﻴﺣﻷﺍ ﺀﺎﻤﻠﻋ ﻖﺛﻭ,[AR] ﻡ ﺔﻴﺤﻄﺴﻟﺍ ﻪﺘﺣﺎﺴﻣ ﺚﻠﺛ ﻮﺤﻧ ﺖﻴﻤﻟﺍ ﺮﺤﺒﻟﺍ ﺪﻘﻓ,[AR]  ﺎﻴﺒﻴﻠﺑ ﺔﻧﺭﺩ ﻲﻓ ﺔﺌﺟﺎﻔﻤﻟﺍ ﺕﺎﻧﺎﻀﻴﻔﻟﺍ ﺖﺒﺒﺴﺗ,[AR] ﻝﺍ ﻲﻓ ﺎﺤﺷ ﻥﺍﺪﻠﺒﻟﺍ ﺮﺜﻛﺃ ﻦﻣ ﻥﺩﺭﻷﺍ ﻒﻨﺼﻳ,[AR] 100 ﻥﺩﺭﻷﺍ ﻲﻓ ﻲﺴﻳﺪﻟﺍ ﻩﺎﻴﻣ ﻞﻘﻧ ﻉﻭﺮﺸﻣ ﺮﻓﻮﻳ,[AR] ﺎﻃ ﺔﻄﺤﻣ ﺔﻴﻤﺷﺎﻬﻟﺍ ﺔﻴﻧﺩﺭﻷﺍ ﺔﻜﻠﻤﻤﻟﺍ ﺖﺤﺘﺘﻓﺍ
[AR] ﺖﺑ ﺔﻴﻨﻌﻤﻟﺍ ﺔﻴﻟﻭﺪﻟﺍ ﺔﻴﻣﻮﻜﺤﻟﺍ ﺔﺌﻴﻬﻟﺍ ﺕﺭﺪﺻﺃ,0.73747474,0.62456536,0.59887624,0.60977733,0.58824897,0.60521966,0.5924926,0.57129234,0.54719806,0.58863056,1.0,0.9049146,0.78377646,0.7804457,0.7842899,0.937624,0.81531966,0.78712285,0.7595594,0.7797954
[AR] ﺪﻘﻌﻨﻤﻟﺍ ﻦﻳﺮﺸﻌﻟﺍﻭ ﻦﻣﺎﺜﻟﺍ ﻑﺍﺮﻃﻷﺍ ﺮﻤﺗﺆﻣ ﻲﻓ,0.75162315,0.6503744,0.55742615,0.5983871,0.61190325,0.63817257,0.5905954,0.5624714,0.5633133,0.57016516,0.9049146,0.99999976,0.73815095,0.7315018,0.7640612,0.8955034,0.76264447,0.76350385,0.76664793,0.75269717
[AR] ﺀﺎﻀﻔﻟﺍ ﺕﺎﺳﺍﺭﺪﻟ ﺩﺭﺍﺩﻮﻏ ﺪﻬﻌﻣ ﻲﻓ ﻥﻮﺜﺣﺎﺑ ﺪﻛﺃ,0.64652336,0.5455574,0.7282295,0.66694957,0.58768225,0.5392753,0.60838556,0.54134583,0.48772168,0.5547359,0.78377646,0.73815095,1.0,0.80205405,0.8443415,0.7277983,0.840881,0.769478,0.7298795,0.75194097
[AR] ﺀﺎﻄﻐﻟﺍ ﻥﺃ ﺲﻨﻳﺎﺳ ﺔﻠﺠﻣ ﻲﻓ ﺕﺮﺸﻧ ﺔﺳﺍﺭﺩ ﺖﻔﺸﻛ,0.5892812,0.55014455,0.6090635,0.71396697,0.5877837,0.58752185,0.59263635,0.60160553,0.5539266,0.5221896,0.7804457,0.7315018,0.80205405,1.0,0.82050574,0.7488407,0.85561347,0.82727766,0.7784376,0.751162
[AR] ﺮﻣ ﺽﺎﻀﻴﺑﺍ ﺙﺪﺣ ﺔﻳﺮﺤﺒﻟﺍ ﺀﺎﻴﺣﻷﺍ ﺀﺎﻤﻠﻋ ﻖﺛﻭ,0.60982674,0.5536071,0.6536492,0.6631724,0.6464164,0.57147074,0.6182053,0.56560594,0.50686586,0.5152738,0.7842899,0.7640612,0.8443415,0.82050574,1.0,0.7764697,0.8572172,0.80480164,0.79516566,0.7548886
[AR] ﻡ ﺔﻴﺤﻄﺴﻟﺍ ﻪﺘﺣﺎﺴﻣ ﺚﻠﺛ ﻮﺤﻧ ﺖﻴﻤﻟﺍ ﺮﺤﺒﻟﺍ ﺪﻘﻓ,0.65892684,0.5699384,0.5379387,0.55614316,0.5974299,0.6537145,0.5773284,0.55617124,0.54018205,0.52208245,0.937624,0.8955034,0.7277983,0.7488407,0.7764697,0.9999998,0.78988975,0.7900861,0.76459587,0.74512184
[AR]  ﺎﻴﺒﻴﻠﺑ ﺔﻧﺭﺩ ﻲﻓ ﺔﺌﺟﺎﻔﻤﻟﺍ ﺕﺎﻧﺎﻀﻴﻔﻟﺍ ﺖﺒﺒﺴﺗ,0.6275375,0.5611731,0.6467541,0.6624757,0.5921308,0.6225991,0.6596782,0.60456437,0.5318587,0.5862432,0.81531966,0.76264447,0.840881,0.85561347,0.8572172,0.78988975,0.9999999,0.82606125,0.7934269,0.81014085
[AR] ﻝﺍ ﻲﻓ ﺎﺤﺷ ﻥﺍﺪﻠﺒﻟﺍ ﺮﺜﻛﺃ ﻦﻣ ﻥﺩﺭﻷﺍ ﻒﻨﺼﻳ,0.62640166,0.57956076,0.56321794,0.6211721,0.609372,0.6451181,0.5978234,0.6602691,0.6078091,0.61370623,0.78712285,0.76350385,0.769478,0.82727766,0.80480164,0.7900861,0.82606125,0.9999997,0.86942303,0.8417741
[AR] 100 ﻥﺩﺭﻷﺍ ﻲﻓ ﻲﺴﻳﺪﻟﺍ ﻩﺎﻴﻣ ﻞﻘﻧ ﻉﻭﺮﺸﻣ ﺮﻓﻮﻳ,0.61570215,0.60794485,0.51935786,0.5845374,0.55469877,0.6107507,0.5395856,0.5886172,0.70567894,0.64024174,0.7595594,0.76664793,0.7298795,0.7784376,0.79516566,0.76459587,0.7934269,0.86942303,1.0,0.87166566
[AR] ﺎﻃ ﺔﻄﺤﻣ ﺔﻴﻤﺷﺎﻬﻟﺍ ﺔﻴﻧﺩﺭﻷﺍ ﺔﻜﻠﻤﻤﻟﺍ ﺖﺤﺘﺘﻓﺍ,0.6542845,0.63780636,0.53657144,0.5997884,0.5511733,0.5683324,0.5781026,0.57117486,0.66224927,0.7594879,0.7797954,0.75269717,0.75194097,0.751162,0.7548886,0.74512184,0.81014085,0.8417741,0.87166566,0.9999999
